data,centro_distribuicao,categoria_produto,mes_num,dia_semana_num,dia_do_mes,dia_do_ano,semana_do_ano,fim_de_semana,dias_desde_inicio,evento_especial,tem_evento,dia_ano_sin,dia_ano_cos,semana_sin,semana_cos,prox_fim_mes,demanda_lag_1,demanda_lag_7,demanda_lag_14,demanda_ma7,demanda_ma14,capacidade_utilizada_pct,complexidade_picking,complexidade_picking_num,fragilidade_produto,fragilidade_produto_num,prioridade_expedicao,prioridade_expedicao_num,nivel_automacao_cd,nivel_automacao_cd_num,tempo_picking_item_min,tempo_embalagem_item_min,tempo_expedicao_min,gargalo_picking_pct,gargalo_embalagem_pct,gargalo_expedicao_pct,demanda_prevista,capacidade_diaria,capacidade_utilizada_prevista,gargalo_potencial,gargalo_picking_previsto,gargalo_embalagem_previsto,gargalo_expedicao_previsto
2024-12-31,Belem (PA),Eletrônicos,12,1,31,366,1,False,365,,0,0.017213356155833904,0.9998518392091162,0.12053668025532305,0.992708874098054,0.0,6969.0,23393.0,19188.0,8157.428571428572,14762.785714285714,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4941,1200.0,2143.75,True,386.015625,514.6875,257.34375
2025-01-01,Belem (PA),Eletrônicos,1,2,1,1,1,False,366,,0,0.017213356155834685,0.9998518392091162,0.12053668025532305,0.992708874098054,0.967741935483871,4941.46301369863,6425.0,26518.0,5618.166666666667,14422.384615384615,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-02,Belem (PA),Eletrônicos,1,3,2,2,1,False,367,,0,0.03442161162274574,0.9994074007397048,0.12053668025532305,0.992708874098054,0.935483870967742,4941.46301369863,6101.0,29990.0,5456.8,13414.416666666666,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-03,Belem (PA),Eletrônicos,1,4,3,3,1,False,368,,0,0.051619667223253764,0.998666816288476,0.12053668025532305,0.992708874098054,0.9032258064516129,4941.46301369863,5409.0,21855.0,5295.75,11907.545454545454,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-04,Belem (PA),Eletrônicos,1,5,4,4,1,True,369,,0,0.06880242680231986,0.9976303053065857,0.12053668025532305,0.992708874098054,0.8709677419354839,4941.46301369863,4907.0,14492.0,5258.0,10912.8,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-05,Belem (PA),Eletrônicos,1,6,5,5,1,True,370,,0,0.08596479873744647,0.9962981749346078,0.12053668025532305,0.992708874098054,0.8387096774193549,4941.46301369863,3898.0,18800.0,5433.5,10515.111111111111,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-06,Belem (PA),Eletrônicos,1,0,6,6,2,False,371,,0,0.10310169744743485,0.9946708199115211,0.23931566428755774,0.970941817426052,0.8064516129032258,4941.46301369863,6969.0,18734.0,6969.0,9479.5,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-07,Belem (PA),Eletrônicos,1,1,7,7,2,False,372,,0,0.1202080448993527,0.9927487224577402,0.23931566428755774,0.970941817426052,0.7741935483870968,4941.46301369863,4941.46301369863,23393.0,4941.46301369863,8157.428571428572,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-08,Belem (PA),Eletrônicos,1,2,8,8,2,False,373,,0,0.13727877211326478,0.9905324521322229,0.23931566428755774,0.970941817426052,0.7419354838709677,4941.46301369863,4941.46301369863,6425.0,4941.46301369863,5618.166666666667,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-09,Belem (PA),Eletrônicos,1,3,9,9,2,False,374,,0,0.15430882066428117,0.9880226656636976,0.23931566428755774,0.970941817426052,0.7096774193548387,4941.46301369863,4941.46301369863,6101.0,4941.46301369863,5456.8,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-10,Belem (PA),Eletrônicos,1,4,10,10,2,False,375,,0,0.1712931441814776,0.9852201067560606,0.23931566428755774,0.970941817426052,0.6774193548387097,4941.46301369863,4941.46301369863,5409.0,4941.46301369863,5295.75,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-11,Belem (PA),Eletrônicos,1,5,11,11,2,True,376,,0,0.1882267098432442,0.9821256058680006,0.23931566428755774,0.970941817426052,0.6451612903225806,4941.46301369863,4941.46301369863,4907.0,4941.46301369863,5258.0,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
2025-01-12,Belem (PA),Eletrônicos,1,6,12,12,2,True,377,,0,0.2051044998686192,0.9787400799669153,0.23931566428755774,0.970941817426052,0.6129032258064516,4941.46301369863,4941.46301369863,3898.0,4941.46301369863,5433.5,411.7886301369862,alta,2,alta,2,media,1,baixo,0,6.882352941176471,6.124999999999999,160.0,386.05153424657533,514.735890410959,257.36783561643836,4940,1200.0,2143.5,True,385.9375,514.5833333333333,257.2916666666667
